,total_gain,total_income,total_get,total_use,num_bet,num_pass,num_hit,buy_hit_per,total_reward,n_episode
0,-22.689964732286,-1415.4000000000005,4822.599999999999,6238.0,1180.0,820.0,43.0,3.6440677966101696,-1415.3999999999978,1
0,-32.80595813204509,-1629.7999999999997,3338.2000000000003,4968.0,911.0,1089.0,37.0,4.061470911086718,-1629.7999999999956,2
0,-25.57909324886164,-1292.0000000000014,3758.9999999999986,5051.0,925.0,1075.0,32.0,3.4594594594594597,-1291.9999999999927,3
0,-30.432998153088448,-1483.0,3390.0,4873.0,893.0,1107.0,39.0,4.367301231802911,-1483.0000000000055,4
0,-32.78754298815437,-1716.1,3517.9,5234.0,944.0,1056.0,41.0,4.343220338983051,-1716.0999999999985,5
0,-37.33291822332918,-1798.6999999999998,3019.3,4818.0,920.0,1080.0,35.0,3.804347826086957,-1798.699999999999,6
0,-30.651731160896148,-1505.0000000000005,3404.9999999999995,4910.0,927.0,1073.0,37.0,3.9913700107874863,-1505.0,7
0,-39.05153831079756,-1992.7999999999997,3110.2000000000003,5103.0,919.0,1081.0,36.0,3.917301414581066,-1992.7999999999956,8
0,-28.659420289855092,-1502.9000000000005,3741.0999999999995,5244.0,966.0,1034.0,42.0,4.3478260869565215,-1502.899999999996,9
0,-50.98114007204917,-2405.8000000000006,2313.1999999999994,4719.0,888.0,1112.0,35.0,3.9414414414414414,-2405.7999999999984,10
0,-22.796528447444558,-1182.0,4003.0,5185.0,950.0,1050.0,38.0,4.0,-1181.9999999999982,11
0,-24.926413632842767,-1287.2000000000007,3876.7999999999993,5164.0,970.0,1030.0,44.0,4.536082474226804,-1287.1999999999953,12
0,-32.866529774127315,-1600.6000000000004,3269.3999999999996,4870.0,904.0,1096.0,35.0,3.8716814159292032,-1600.5999999999985,13
0,-25.068332682545872,-1283.9999999999995,3838.0000000000005,5122.0,943.0,1057.0,43.0,4.559915164369035,-1284.0,14
0,-34.18466415692491,-1725.2999999999997,3321.7000000000003,5047.0,931.0,1069.0,44.0,4.726100966702471,-1725.2999999999975,15
0,-12.959040959040948,-648.5999999999995,4356.400000000001,5005.0,946.0,1054.0,46.0,4.862579281183932,-648.6000000000022,16
0,-45.11067193675886,-2282.5999999999985,2777.4000000000015,5060.0,938.0,1062.0,41.0,4.371002132196162,-2282.6000000000013,17
0,-36.16285881663737,-1851.8999999999996,3269.1000000000004,5121.0,979.0,1021.0,46.0,4.698672114402451,-1851.8999999999996,18
0,-40.78405188859213,-2137.8999999999996,3104.1000000000004,5242.0,994.0,1006.0,44.0,4.426559356136821,-2137.899999999996,19
0,-39.157587548638126,-2012.6999999999998,3127.3,5140.0,939.0,1061.0,42.0,4.472843450479233,-2012.7000000000007,20
0,-20.766104450314998,-1021.900000000001,3899.099999999999,4921.0,910.0,1090.0,44.0,4.835164835164836,-1021.8999999999942,21
