,total_gain,total_income,total_get,total_use,num_bet,num_pass,num_hit,buy_hit_per,total_reward,n_episode
0,-22.982040655220032,-1164.4999999999995,3902.5000000000005,5067.0,906.0,1094.0,38.0,4.194260485651214,-1164.5000000000018,23
0,-40.9904724096864,-2065.1000000000004,2972.8999999999996,5038.0,934.0,1066.0,36.0,3.854389721627409,-2065.0999999999985,24
0,-14.889558232931734,-741.5,4238.5,4980.0,900.0,1100.0,35.0,3.888888888888889,-741.5,25
0,-37.80762023735166,-1815.9,2987.1,4803.0,894.0,1106.0,33.0,3.691275167785235,-1815.9000000000015,26
0,-41.01273378432153,-2061.3,2964.7,5026.0,899.0,1101.0,32.0,3.5595105672969964,-2061.2999999999993,27
0,-14.777232580961723,-752.8999999999996,4342.1,5095.0,907.0,1093.0,38.0,4.189636163175303,-752.9000000000015,28
0,-35.86146682188591,-1848.2999999999997,3305.7000000000003,5154.0,922.0,1078.0,34.0,3.68763557483731,-1848.2999999999993,29
0,-17.82287085165933,-891.5,4110.5,5002.0,905.0,1095.0,37.0,4.088397790055249,-891.5000000000018,30
0,-33.5469478807544,-1654.1999999999998,3276.8,4931.0,896.0,1104.0,31.0,3.459821428571429,-1654.2000000000007,31
0,-45.69888332691568,-2373.6000000000004,2820.3999999999996,5194.0,941.0,1059.0,25.0,2.6567481402763016,-2373.5999999999985,32
0,-54.10685805422648,-2714.0,2302.0,5016.0,898.0,1102.0,33.0,3.6748329621380846,-2714.000000000002,33
0,-40.376260667183864,-2081.7999999999997,3074.2000000000003,5156.0,918.0,1082.0,37.0,4.030501089324619,-2081.7999999999975,34
0,-69.37375349022736,-3478.4,1535.6,5014.0,936.0,1064.0,25.0,2.6709401709401708,-3478.4000000000024,35
0,-1.8719308583775387,-95.30000000000018,4995.7,5091.0,931.0,1069.0,42.0,4.511278195488721,-95.29999999999745,36
0,-60.12708333333334,-2886.1000000000004,1913.8999999999999,4800.0,898.0,1102.0,28.0,3.11804008908686,-2886.1000000000013,37
0,-14.114785992217918,-725.5000000000009,4414.499999999999,5140.0,924.0,1076.0,34.0,3.67965367965368,-725.4999999999982,38
0,-20.72530554998997,-1034.3999999999996,3956.6000000000004,4991.0,929.0,1071.0,36.0,3.8751345532831003,-1034.4000000000015,39
0,-24.797712349078594,-1170.7000000000003,3550.2999999999997,4721.0,866.0,1134.0,33.0,3.810623556581986,-1170.7000000000007,40
0,-38.34485482915267,-1941.4,3121.6,5063.0,914.0,1086.0,29.0,3.1728665207877462,-1941.3999999999996,41
0,-20.550847457627114,-1067.0,4125.0,5192.0,931.0,1069.0,36.0,3.866809881847476,-1067.0,42
0,-35.74077727362396,-1811.699999999999,3257.300000000001,5069.0,928.0,1072.0,37.0,3.9870689655172415,-1811.7000000000098,43
0,-47.66566566566568,-2380.9000000000005,2614.0999999999995,4995.0,898.0,1102.0,34.0,3.78619153674833,-2380.899999999995,44
