,total_gain,total_income,total_get,total_use,num_bet,num_pass,num_hit,buy_hit_per,total_reward,n_episode
0,-34.21362144420131,-2501.699999999999,4810.300000000001,7312.0,1183.0,817.0,46.0,3.888419273034658,-2501.699999999996,1
0,-43.47480106100796,-2130.7000000000003,2770.2999999999997,4901.0,925.0,1075.0,39.0,4.216216216216216,-2130.6999999999953,2
0,-28.327533265097244,-1383.8000000000002,3501.2,4885.0,910.0,1090.0,33.0,3.626373626373627,-1383.7999999999975,3
0,-22.551480682486755,-1149.8999999999996,3949.1000000000004,5099.0,906.0,1094.0,35.0,3.863134657836645,-1149.8999999999996,4
0,-39.74232887490166,-2020.5000000000005,3063.4999999999995,5084.0,935.0,1065.0,38.0,4.064171122994653,-2020.5000000000018,5
0,-32.30202944687625,-1623.5,3402.5,5026.0,913.0,1087.0,39.0,4.271631982475356,-1623.5000000000036,6
0,-24.70759665824754,-1271.7000000000007,3875.2999999999993,5147.0,933.0,1067.0,37.0,3.965702036441586,-1271.7000000000007,7
0,-33.58262249553661,-1692.9,3348.1,5041.0,886.0,1114.0,36.0,4.063205417607223,-1692.9000000000015,8
0,-37.553049130185435,-1964.4,3266.6,5231.0,923.0,1077.0,34.0,3.683640303358613,-1964.3999999999978,9
0,-46.246687054026495,-2268.3999999999996,2636.6000000000004,4905.0,893.0,1107.0,32.0,3.5834266517357225,-2268.4000000000015,10
0,-22.105056840454722,-1127.8000000000002,3974.2,5102.0,930.0,1070.0,43.0,4.623655913978494,-1127.7999999999975,11
0,-44.05078357468756,-2220.6,2820.4,5041.0,924.0,1076.0,35.0,3.787878787878788,-2220.5999999999985,12
0,-32.79961089494164,-1685.9,3454.1,5140.0,927.0,1073.0,39.0,4.207119741100324,-1685.9000000000033,13
0,-19.700890963088654,-928.6999999999994,3785.3000000000006,4714.0,885.0,1115.0,34.0,3.84180790960452,-928.7000000000025,14
0,-29.653505237711514,-1471.9999999999995,3492.0000000000005,4964.0,923.0,1077.0,33.0,3.5752979414951245,-1472.0000000000018,15
0,-38.82539682539683,-1956.8000000000002,3083.2,5040.0,916.0,1084.0,40.0,4.366812227074235,-1956.7999999999993,16
0,-49.88993396037622,-2493.0,2504.0,4997.0,910.0,1090.0,34.0,3.7362637362637363,-2493.0,17
0,-30.7966168371361,-1565.6999999999994,3518.3000000000006,5084.0,927.0,1073.0,35.0,3.7756202804746493,-1565.7000000000044,18
0,-46.53507874821027,-2275.1,2613.9,4889.0,905.0,1095.0,29.0,3.2044198895027622,-2275.0999999999985,19
0,-30.3575055860248,-1494.500000000001,3428.499999999999,4923.0,926.0,1074.0,37.0,3.995680345572354,-1494.4999999999964,20
0,-37.04623460528972,-1834.8999999999996,3118.1000000000004,4953.0,892.0,1108.0,30.0,3.3632286995515694,-1834.9000000000033,21
0,-21.327887537993888,-1122.699999999999,4141.300000000001,5264.0,922.0,1078.0,36.0,3.9045553145336225,-1122.7000000000007,22
0,-16.338354577056776,-846.0,4332.0,5178.0,931.0,1069.0,34.0,3.6519871106337276,-846.0,23
