,total_gain,total_income,total_get,total_use,num_bet,num_pass,num_hit,buy_hit_per,total_reward,n_episode
0,-16.740858505564375,-842.3999999999996,4189.6,5032.0,956.0,1044.0,47.0,4.916317991631799,-842.399999999996,36
0,-15.239815372265696,-759.3999999999996,4223.6,4983.0,904.0,1096.0,49.0,5.420353982300885,-759.3999999999996,37
0,-30.301857585139317,-1566.0,3602.0,5168.0,952.0,1048.0,45.0,4.726890756302521,-1565.9999999999982,38
0,-5.313201387471935,-260.39999999999964,4640.6,4901.0,916.0,1084.0,46.0,5.021834061135371,-260.3999999999978,39
0,-18.79216750678559,-969.3000000000002,4188.7,5158.0,950.0,1050.0,49.0,5.157894736842105,-969.299999999992,40
0,5.568760611205434,295.2000000000007,5596.200000000001,5301.0,982.0,1018.0,54.0,5.4989816700611,295.2000000000007,41
0,-18.055609947131387,-922.1000000000004,4184.9,5107.0,931.0,1069.0,48.0,5.155746509129968,-922.0999999999985,42
0,-14.340277777777814,-743.4000000000015,4440.5999999999985,5184.0,972.0,1028.0,48.0,4.938271604938271,-743.399999999996,43
0,-12.408106497119007,-624.5,4408.5,5033.0,921.0,1079.0,48.0,5.211726384364821,-624.5000000000018,44
0,-4.43263096849023,-229.29999999999927,4943.700000000001,5173.0,929.0,1071.0,51.0,5.489773950484392,-229.29999999999927,45
0,-16.098288897731777,-809.0999999999995,4216.900000000001,5026.0,918.0,1082.0,46.0,5.010893246187364,-809.100000000004,46
0,-16.02488151658767,-811.4999999999991,4252.500000000001,5064.0,948.0,1052.0,49.0,5.168776371308017,-811.5,47
0,1.1126108754338588,57.69999999999982,5243.7,5186.0,949.0,1051.0,53.0,5.584826132771338,57.69999999999891,48
0,3.3058002936857633,180.10000000000036,5628.1,5448.0,984.0,1016.0,50.0,5.08130081300813,180.0999999999949,49
0,-2.5855289028705926,-131.49999999999818,4954.500000000002,5086.0,929.0,1071.0,50.0,5.382131324004305,-131.49999999999818,50
0,-11.28761234857366,-577.6999999999998,4540.3,5118.0,930.0,1070.0,48.0,5.161290322580645,-577.6999999999953,51
0,21.899028305872406,1036.6999999999998,5770.7,4734.0,877.0,1123.0,52.0,5.929304446978335,1036.699999999999,52
0,-6.6470588235293775,-338.9999999999982,4761.000000000002,5100.0,940.0,1060.0,46.0,4.8936170212765955,-339.0,53
0,37.29493545183712,1877.7999999999993,6912.799999999999,5035.0,902.0,1098.0,53.0,5.875831485587583,1877.7999999999993,54
0,18.831352004835765,934.5999999999985,5897.5999999999985,4963.0,919.0,1081.0,53.0,5.767138193688792,934.6000000000022,55
0,33.25737265415546,1736.699999999998,6958.699999999998,5222.0,921.0,1079.0,56.0,6.080347448425624,1736.699999999997,56
0,19.880454273759725,997.8000000000011,6016.800000000001,5019.0,934.0,1066.0,48.0,5.139186295503212,997.7999999999993,57
0,4.3698424606151605,233.0,5565.0,5332.0,950.0,1050.0,42.0,4.421052631578947,233.0,58
0,6.759840273816337,355.5000000000009,5614.500000000001,5259.0,945.0,1055.0,50.0,5.291005291005291,355.5,59
0,0.3631869176649758,19.100000000000364,5278.1,5259.0,944.0,1056.0,49.0,5.190677966101695,19.099999999996726,60
0,23.66725248974811,1212.000000000001,6333.000000000001,5121.0,911.0,1089.0,49.0,5.378704720087816,1211.9999999999982,61
0,13.127811094452753,700.4999999999991,6036.499999999999,5336.0,957.0,1043.0,47.0,4.911180773249739,700.5,62
0,8.09879379666856,422.9999999999991,5645.999999999999,5223.0,936.0,1064.0,55.0,5.876068376068376,423.0000000000018,63
0,7.937463585162163,408.6999999999998,5557.7,5149.0,932.0,1068.0,54.0,5.793991416309012,408.6999999999989,64
0,14.539627039627007,748.4999999999991,5896.499999999999,5148.0,901.0,1099.0,55.0,6.104328523862375,748.5000000000036,65
0,13.659851301115268,734.9000000000015,6114.9000000000015,5380.0,964.0,1036.0,54.0,5.601659751037345,734.9000000000015,66
0,9.111358988659617,490.1000000000013,5869.100000000001,5379.0,945.0,1055.0,56.0,5.9259259259259265,490.0999999999967,67
0,15.335110434120367,805.4000000000015,6057.4000000000015,5252.0,912.0,1088.0,49.0,5.37280701754386,805.3999999999996,68
0,4.030440798576791,203.90000000000055,5262.900000000001,5059.0,900.0,1100.0,50.0,5.555555555555555,203.89999999999964,69
0,30.67919951485746,1517.699999999999,6464.699999999999,4947.0,882.0,1118.0,56.0,6.349206349206349,1517.7000000000007,70
0,15.221341581287476,787.4000000000005,5960.400000000001,5173.0,935.0,1065.0,54.0,5.775401069518717,787.3999999999978,71
0,11.862549800796842,595.5000000000009,5615.500000000001,5020.0,899.0,1101.0,53.0,5.89543937708565,595.4999999999982,72
0,10.982482863670981,576.8000000000002,5828.8,5252.0,956.0,1044.0,47.0,4.916317991631799,576.8000000000029,73
0,7.314308053166528,374.1999999999998,5490.2,5116.0,909.0,1091.0,52.0,5.720572057205721,374.19999999999527,74
0,-4.291375731270065,-227.40000000000055,5071.599999999999,5299.0,929.0,1071.0,53.0,5.705059203444564,-227.40000000000146,75
0,-6.816326530612258,-350.7000000000007,4794.299999999999,5145.0,937.0,1063.0,50.0,5.3361792956243335,-350.7000000000007,76
0,16.87984862819299,892.0999999999995,6177.099999999999,5285.0,950.0,1050.0,51.0,5.36842105263158,892.1000000000004,77
0,1.9389935884981213,99.79999999999836,5246.799999999998,5147.0,912.0,1088.0,54.0,5.921052631578947,99.79999999999927,78
0,-2.1578947368421098,-118.90000000000055,5391.099999999999,5510.0,977.0,1023.0,52.0,5.322415557830093,-118.90000000000327,79
0,15.035660660660682,801.1000000000013,6129.100000000001,5328.0,906.0,1094.0,54.0,5.960264900662252,801.0999999999967,80
