,total_gain,total_income,total_get,total_use,num_bet,num_pass,num_hit,buy_hit_per,total_reward,n_episode
0,-15.655502392344474,-817.9999999999991,4407.000000000001,5225.0,948.0,1052.0,39.0,4.113924050632911,-818.0,1
0,-3.861637678327156,-197.60000000000036,4919.4,5117.0,912.0,1088.0,42.0,4.605263157894736,-197.60000000000036,2
0,-49.44499900179675,-2476.6999999999994,2532.3000000000006,5009.0,915.0,1085.0,26.0,2.841530054644809,-2476.7000000000016,3
0,-22.732185748598866,-1135.6999999999994,3860.3000000000006,4996.0,905.0,1095.0,34.0,3.7569060773480665,-1135.7000000000025,4
0,-42.051714446318144,-2244.2999999999993,3092.7000000000007,5337.0,935.0,1065.0,38.0,4.064171122994653,-2244.300000000004,5
0,-1.1724960254371979,-59.0,4973.0,5032.0,899.0,1101.0,35.0,3.8932146829810903,-59.0,6
0,-40.41723800195886,-2063.2999999999997,3041.7000000000003,5105.0,932.0,1068.0,38.0,4.07725321888412,-2063.3,7
0,-43.26473859844272,-2333.7000000000003,3060.2999999999997,5394.0,955.0,1045.0,39.0,4.0837696335078535,-2333.7000000000025,8
0,-29.39199003942727,-1416.4,3402.6,4819.0,881.0,1119.0,31.0,3.5187287173666286,-1416.4000000000015,9
0,-37.321827411167504,-1838.1,3086.9,4925.0,906.0,1094.0,28.0,3.090507726269316,-1838.0999999999985,10
0,-36.552328980705525,-1875.5000000000005,3255.4999999999995,5131.0,915.0,1085.0,31.0,3.3879781420765025,-1875.5,11
0,-47.50683860883158,-2431.4,2686.6,5118.0,932.0,1068.0,30.0,3.2188841201716736,-2431.4000000000015,12
0,-28.97465886939571,-1486.3999999999996,3643.6000000000004,5130.0,912.0,1088.0,38.0,4.166666666666666,-1486.4000000000015,13
0,-46.68705603788478,-2366.1000000000004,2701.8999999999996,5068.0,921.0,1079.0,34.0,3.691639522258415,-2366.100000000003,14
0,-20.860344137655076,-1042.6000000000004,3955.3999999999996,4998.0,888.0,1112.0,42.0,4.72972972972973,-1042.599999999995,15
0,-11.462558502340087,-587.8000000000002,4540.2,5128.0,915.0,1085.0,41.0,4.480874316939891,-587.7999999999938,16
