,total_gain,total_income,total_get,total_use,num_bet,num_pass,num_hit,buy_hit_per,total_reward,n_episode
0,-6.0600918346975305,-607.0999999999985,9410.900000000001,10018.0,1831.0,2169.0,120.0,6.553795740032769,-607.100000000004,1
0,-28.492467227548417,-2912.499999999998,7309.500000000002,10222.0,1842.0,2158.0,96.0,5.211726384364821,-2912.5000000000045,2
0,-8.210432544788688,-829.5,9273.5,10103.0,1843.0,2157.0,119.0,6.456863809007054,-829.5,3
0,8.384183059012472,835.4000000000033,10799.400000000003,9964.0,1807.0,2193.0,125.0,6.917542888765911,835.4000000000051,4
0,-16.16403414107721,-1647.6000000000004,8545.4,10193.0,1807.0,2193.0,116.0,6.419479800774765,-1647.5999999999967,5
0,-14.847174743615511,-1476.699999999999,8469.300000000001,9946.0,1848.0,2152.0,111.0,6.0064935064935066,-1476.699999999997,6
0,-17.284572105418988,-1751.0999999999985,8379.900000000001,10131.0,1814.0,2186.0,112.0,6.174200661521499,-1751.1000000000004,7
0,-15.09931208216257,-1558.3999999999996,8762.6,10321.0,1869.0,2131.0,109.0,5.831995719636169,-1558.3999999999978,8
0,-11.02848255079229,-1134.5000000000018,9152.499999999998,10287.0,1852.0,2148.0,122.0,6.587473002159827,-1134.5000000000036,9
0,-3.5501895829175965,-355.8000000000011,9666.199999999999,10022.0,1835.0,2165.0,119.0,6.485013623978202,-355.79999999999563,10
0,-4.11866125760649,-406.10000000000036,9453.9,9860.0,1811.0,2189.0,114.0,6.294864715626726,-406.10000000000036,11
0,-3.2785054320235503,-322.89999999999964,9526.1,9849.0,1789.0,2211.0,114.0,6.372275013974288,-322.8999999999942,12
0,-17.55069895648748,-1782.7999999999975,8375.200000000003,10158.0,1854.0,2146.0,114.0,6.148867313915858,-1782.8000000000047,13
0,-16.235584031542643,-1647.1000000000004,8497.9,10145.0,1826.0,2174.0,112.0,6.133625410733845,-1647.1000000000022,14
0,-10.164266882985203,-1002.3999999999996,8859.6,9862.0,1823.0,2177.0,109.0,5.979155238617663,-1002.399999999996,15
0,-11.02438556067591,-1148.300000000003,9267.699999999997,10416.0,1858.0,2142.0,126.0,6.7814854682454255,-1148.2999999999975,16
0,-28.120234604105562,-2876.7,7353.3,10230.0,1843.0,2157.0,108.0,5.860010851871948,-2876.700000000006,17
0,-1.8426809864757416,-185.3000000000011,9870.699999999999,10056.0,1828.0,2172.0,116.0,6.3457330415754925,-185.3000000000011,18
0,-13.37491198068605,-1329.6000000000004,8611.4,9941.0,1795.0,2205.0,118.0,6.573816155988858,-1329.6000000000004,19
0,-17.16680211296223,-1689.9000000000024,8154.099999999998,9844.0,1808.0,2192.0,111.0,6.139380530973451,-1689.8999999999924,20
0,-9.178968655207285,-907.8000000000011,8982.199999999999,9890.0,1798.0,2202.0,111.0,6.173526140155729,-907.7999999999938,21
0,-19.395643007730172,-1932.0000000000018,8028.999999999998,9961.0,1794.0,2206.0,110.0,6.131549609810479,-1931.9999999999964,22
0,-6.037037037037024,-603.0999999999985,9386.900000000001,9990.0,1780.0,2220.0,110.0,6.179775280898876,-603.0999999999913,23
0,-9.361369193154019,-957.1999999999989,9267.800000000001,10225.0,1860.0,2140.0,114.0,6.129032258064516,-957.200000000008,24
0,-10.56145526057027,-1074.0999999999967,9095.900000000003,10170.0,1852.0,2148.0,124.0,6.695464362850973,-1074.100000000004,25
0,-9.102947033054548,-914.2999999999993,9129.7,10044.0,1824.0,2176.0,117.0,6.4144736842105265,-914.299999999992,26
0,-4.697641604515226,-466.10000000000036,9455.9,9922.0,1818.0,2182.0,122.0,6.710671067106711,-466.0999999999949,27
0,-28.57766749379654,-2879.2000000000016,7195.799999999998,10075.0,1814.0,2186.0,106.0,5.843439911797133,-2879.2000000000007,28
0,-13.971402678481553,-1387.5000000000036,8543.499999999996,9931.0,1789.0,2211.0,107.0,5.980994969256568,-1387.4999999999982,29
0,-6.740740740740819,-673.4000000000069,9316.599999999993,9990.0,1809.0,2191.0,111.0,6.135986733001658,-673.4000000000015,30
0,-13.396096214511061,-1358.9000000000015,8785.099999999999,10144.0,1824.0,2176.0,112.0,6.140350877192982,-1358.8999999999996,31
0,5.342068413682767,534.1000000000022,10532.100000000002,9998.0,1817.0,2183.0,103.0,5.668684645019263,534.1000000000004,32
0,-8.358623425567785,-842.7999999999993,9240.2,10083.0,1837.0,2163.0,114.0,6.205770277626565,-842.8000000000011,33
0,-21.825507361719062,-2193.9000000000005,7858.099999999999,10052.0,1815.0,2185.0,101.0,5.564738292011019,-2193.8999999999996,34
0,-8.968813362942953,-928.9000000000015,9428.099999999999,10357.0,1844.0,2156.0,118.0,6.399132321041215,-928.8999999999924,35
0,-3.6824126488385645,-377.2999999999993,9868.7,10246.0,1859.0,2141.0,119.0,6.401291016675632,-377.3000000000029,36
0,-14.735039290751587,-1462.6000000000022,8463.399999999998,9926.0,1807.0,2193.0,112.0,6.198118428334256,-1462.6000000000004,37
0,-5.953768645658414,-602.7000000000007,9520.3,10123.0,1868.0,2132.0,116.0,6.209850107066381,-602.7000000000007,38
0,-7.189586760863264,-742.9000000000015,9590.099999999999,10333.0,1821.0,2179.0,112.0,6.1504667764964305,-742.9000000000015,39
0,-0.7786640079760332,-78.0999999999949,9951.900000000005,10030.0,1837.0,2163.0,123.0,6.695699510070767,-78.09999999999854,40
0,-5.6778679026651275,-588.0,9768.0,10356.0,1838.0,2162.0,120.0,6.528835690968444,-587.9999999999927,41
0,-21.788812443912647,-2185.2,7843.8,10029.0,1825.0,2175.0,117.0,6.410958904109589,-2185.2000000000025,42
0,-4.862502455313333,-495.100000000004,9686.899999999996,10182.0,1844.0,2156.0,125.0,6.778741865509762,-495.10000000000036,43
0,5.676935549250061,560.1999999999953,10428.199999999995,9868.0,1798.0,2202.0,117.0,6.507230255839821,560.1999999999989,44
0,-16.86395233366433,-1698.199999999999,8371.800000000001,10070.0,1822.0,2178.0,107.0,5.872667398463227,-1698.199999999997,45
0,-11.767495886167893,-1215.7000000000044,9115.299999999996,10331.0,1835.0,2165.0,99.0,5.395095367847412,-1215.7000000000062,46
0,-13.12481470501038,-1328.1000000000004,8790.9,10119.0,1822.0,2178.0,121.0,6.6410537870472,-1328.1000000000004,47
0,-18.74161735700197,-1900.3999999999996,8239.6,10140.0,1821.0,2179.0,107.0,5.875892366831411,-1900.4000000000124,48
0,-16.74400236943427,-1695.9999999999982,8433.000000000002,10129.0,1806.0,2194.0,117.0,6.4784053156146175,-1695.9999999999982,49
0,1.873481683023968,192.79999999999563,10483.799999999996,10291.0,1830.0,2170.0,125.0,6.830601092896176,192.79999999999927,50
0,5.547289033836165,544.3000000000047,10356.300000000005,9812.0,1798.0,2202.0,120.0,6.674082313681868,544.3000000000011,51
0,-19.607250755287026,-1947.000000000001,7982.999999999999,9930.0,1810.0,2190.0,107.0,5.911602209944752,-1947.000000000001,52
0,-18.445932828576943,-1900.2999999999975,8401.700000000003,10302.0,1858.0,2142.0,101.0,5.435952637244349,-1900.300000000001,53
0,-15.961482060807498,-1632.699999999999,8596.300000000001,10229.0,1854.0,2146.0,108.0,5.825242718446602,-1632.699999999997,54
0,-9.061870213623564,-899.3000000000029,9024.699999999997,9924.0,1814.0,2186.0,119.0,6.560088202866593,-899.3000000000029,55
0,2.4426516329704384,251.29999999999927,10539.3,10288.0,1809.0,2191.0,123.0,6.799336650082918,251.3000000000011,56
0,3.1770529994176115,327.3000000000029,10629.300000000003,10302.0,1859.0,2141.0,116.0,6.239913932221625,327.3000000000029,57
0,-7.464218734577088,-756.2000000000044,9374.799999999996,10131.0,1805.0,2195.0,113.0,6.260387811634349,-756.2000000000062,58
0,-19.39061428431468,-1979.199999999999,8227.800000000001,10207.0,1849.0,2151.0,112.0,6.057328285559762,-1979.199999999999,59
0,-17.61210317460319,-1775.300000000001,8304.699999999999,10080.0,1825.0,2175.0,116.0,6.3561643835616435,-1775.300000000001,60
0,-15.699712785976004,-1585.199999999997,8511.800000000003,10097.0,1832.0,2168.0,115.0,6.277292576419214,-1585.2000000000025,61
0,-5.98505976095619,-600.9000000000015,9439.099999999999,10040.0,1857.0,2143.0,105.0,5.654281098546042,-600.8999999999996,62
0,-18.066853444111686,-1870.1000000000004,8480.9,10351.0,1815.0,2185.0,114.0,6.2809917355371905,-1870.1000000000022,63
0,-15.498756837394325,-1558.3999999999996,8496.6,10055.0,1820.0,2180.0,109.0,5.989010989010989,-1558.3999999999905,64
0,-13.553800592300078,-1372.9999999999982,8757.000000000002,10130.0,1822.0,2178.0,106.0,5.817782656421515,-1373.0000000000018,65
0,-32.42387699728668,-3226.499999999998,6724.500000000002,9951.0,1840.0,2160.0,105.0,5.706521739130435,-3226.499999999999,66
0,-4.4824976348154735,-473.79999999999563,10096.200000000004,10570.0,1868.0,2132.0,114.0,6.102783725910064,-473.80000000000473,67
0,-6.964591949964699,-690.3999999999996,9222.6,9913.0,1792.0,2208.0,116.0,6.4732142857142865,-690.4000000000015,68
0,2.813476562500014,288.1000000000022,10528.100000000002,10240.0,1816.0,2184.0,119.0,6.5528634361233475,288.10000000000036,69
0,-14.338235294117652,-1423.5,8504.5,9928.0,1798.0,2202.0,113.0,6.284760845383759,-1423.5000000000036,70
0,-12.184068676382523,-1220.6000000000004,8797.4,10018.0,1808.0,2192.0,105.0,5.807522123893805,-1220.600000000004,71
0,-15.692019335109052,-1590.7000000000044,8546.299999999996,10137.0,1832.0,2168.0,114.0,6.222707423580786,-1590.6999999999953,72
0,-12.648928885845663,-1293.1000000000022,8929.899999999998,10223.0,1849.0,2151.0,118.0,6.38182801514332,-1293.1000000000004,73
0,-9.42506334047944,-967.2000000000007,9294.8,10262.0,1860.0,2140.0,128.0,6.881720430107527,-967.1999999999989,74
0,-12.094215038927786,-1227.2000000000025,8919.799999999997,10147.0,1818.0,2182.0,115.0,6.325632563256326,-1227.2000000000025,75
0,-10.566468253968253,-1065.1000000000004,9014.9,10080.0,1808.0,2192.0,109.0,6.028761061946902,-1065.1000000000004,76
0,-15.573276281240865,-1601.3999999999978,8681.600000000002,10283.0,1851.0,2149.0,116.0,6.266882766072393,-1601.4000000000015,77
